date,time,name,artist,time played,duration
17/08/2020,19:20:30,Season of the Witch,Donovan,4:46,4:54
17/08/2020,19:25:17,Siberian Breaks,MGMT,9:37,12:10
17/08/2020,19:34:56,Rococo,Arcade Fire,0:03,3:57
17/08/2020,19:34:58,Sunday Morning,The Velvet Underground,0:16,2:56
17/08/2020,19:35:15,You Look Great When I'm Fucked Up,The Brian Jonestown Massacre,4:08,6:51
17/08/2020,19:39:23,Anemone,The Brian Jonestown Massacre,4:23,5:34
17/08/2020,19:43:46,Nothing to Say,The Kinks,0:08,3:08
17/08/2020,19:43:53,Identikit,Radiohead,0:08,4:27
17/08/2020,19:44:01,Ful Stop,Radiohead,0:02,6:07
17/08/2020,19:44:04,Ain't No Telling,Jimi Hendrix,0:10,1:48
17/08/2020,19:44:13,The Bird Song,King Gizzard & The Lizard Wizard,2:09,4:25
17/08/2020,19:46:21,You Still Believe In Me - Mono,The Beach Boys,2:01,2:35
17/08/2020,19:48:20,If Not This Time,Fifty Foot Hose,0:07,3:39
17/08/2020,19:48:48,Staring At The Sun,Wooden Shjips,0:24,7:28
17/08/2020,19:49:11,Maybe the People Would Be the Times or Between Clark and Hilldale - 2015 Remaster,Love,0:12,3:34
17/08/2020,19:49:23,Here's to you (feat. Joan Baez),Ennio Morricone,0:05,3:09
17/08/2020,19:49:28,Shangri-La - Mono Mix,The Kinks,0:02,5:21
17/08/2020,19:49:30,Little By Little,Radiohead,0:02,4:27
17/08/2020,19:50:16,Living Loving Life,The Peanut Butter Conspiracy,2:15,3:18
17/08/2020,19:52:32,Oh! Sweet Nuthin' - 2015 Remaster,The Velvet Underground,0:05,7:25
17/08/2020,19:52:36,Lay It Down Slow,Spiritualized,0:09,5:00
17/08/2020,19:52:45,15 Step,Radiohead,0:02,3:57
17/08/2020,19:52:47,Aurora Borealis,Meat Puppets,0:02,2:45
17/08/2020,19:52:50,Tomorrow Never Knows - Remastered,The Beatles,0:02,2:60
17/08/2020,20:02:16,At The Zoo,Simon & Garfunkel,1:49,2:23
17/08/2020,23:21:31,No Come Down,The Brian Jonestown Massacre,2:56,5:48
17/08/2020,23:24:32,I'm Waiting For The Day - Mono,The Beach Boys,0:42,3:07
17/08/2020,23:25:15,Egyptian Shumba - Alternate Version,The Tammys,2:33,2:40
17/08/2020,23:27:49,Homeward Bound,Simon & Garfunkel,0:35,2:30
17/08/2020,23:28:24,Starless,King Crimson,0:03,12:25
17/08/2020,23:28:28,Jugband Blues - 2011 Remastered Version,Pink Floyd,0:06,3:01
Invalid Date,Invalid Date,,,0:00,0:00
18/08/2020,12:50:05,Slomo,Slowdive,1:58,6:53
18/08/2020,12:52:04,Don't Know Why,Slowdive,4:31,4:37
18/08/2020,12:56:35,Leave Them All Behind - 2001 Remaster,Ride,5:41,8:17
18/08/2020,13:02:15,Pitch the Baby,Cocteau Twins,3:08,3:14
18/08/2020,13:05:23,Tunger Hnifur,The Brian Jonestown Massacre,3:59,4:04
18/08/2020,13:09:21,Feel It,The Brian Jonestown Massacre,6:10,6:15
18/08/2020,13:15:31,Just Like Kicking Jesus,The Brian Jonestown Massacre,4:37,4:38
18/08/2020,13:20:09,Bloodhail,Have A Nice Life,1:26,5:38
Invalid Date,Invalid Date,,,0:00,0:00
18/08/2020,13:28:09,I Love You,Spacemen 3,5:32,5:32
18/08/2020,13:33:41,Just Like Kicking Jesus,The Brian Jonestown Massacre,0:04,4:38
18/08/2020,13:33:45,This Is the One Thing We Did Not Want to Have Happen,The Brian Jonestown Massacre,0:08,7:10
18/08/2020,13:33:55,Everyone Says,The Brian Jonestown Massacre,0:05,4:16
18/08/2020,13:33:59,Dracula Bells,Have A Nice Life,0:04,7:45
18/08/2020,13:34:04,Here She Comes,Slowdive,0:05,2:18
18/08/2020,13:52:03,Memories,Clinic,1:16,2:37
18/08/2020,13:53:20,Gutter Girl,Hot Flash Heat Wave,3:44,3:45
18/08/2020,13:57:03,True Faith - 2011 Total Version,New Order,1:07,4:13
18/08/2020,13:58:12,Blogging,Wire,0:01,3:46
18/08/2020,13:58:14,Helicopter,Deerhunter,0:01,4:58
18/08/2020,13:58:16,Passenger,Deftones,0:19,6:09
18/08/2020,14:55:44,East,Psychic Ills,1:37,1:40
18/08/2020,14:57:22,Electriclife,Psychic Ills,5:25,5:26
18/08/2020,15:02:49,Untitled,Psychic Ills,2:53,4:26
18/08/2020,15:04:26,January Rain,Psychic Ills,2:58,5:38
18/08/2020,15:07:23,Inauration,Psychic Ills,0:22,1:57
18/08/2020,15:07:44,Don't Know Why,Slowdive,4:35,4:37
18/08/2020,17:18:50,Pitch the Baby,Cocteau Twins,3:12,3:14
18/08/2020,17:20:07,Iceblink Luck,Cocteau Twins,3:18,3:19
18/08/2020,17:23:26,Heaven Or Las Vegas,Cocteau Twins,0:08,4:58
18/08/2020,17:23:35,Living Loving Life,The Peanut Butter Conspiracy,0:09,3:18
18/08/2020,17:23:43,Never Really (Saw Me Comin Round),The People's Temple,3:07,3:08
18/08/2020,17:26:50,Matilda Mother - Alternative Version;2010 Mix,Pink Floyd,3:58,3:58
18/08/2020,17:30:48,Echoes - 2011 Remastered Version,Pink Floyd,0:30,23:32
18/08/2020,17:31:19,Jugband Blues - 2011 Remastered Version,Pink Floyd,0:01,3:01
18/08/2020,17:31:21,The Orange Monkey,PJ Harvey,2:45,2:47
